x,t=2.00e+07s,t=3.98e+08s,t=7.77e+08s,t=1.16e+09s
4.204204204204204314e-06,1.299716749665995441e+24,6.542919634699858876e+23,3.363025193031679775e+23,1.715926782057507130e+23
4.224224224224223947e-06,1.299717059052436405e+24,6.543083943416918515e+23,3.363112926294857262e+23,1.715972661615945989e+23
4.244244244244244428e-06,1.299717362457170116e+24,6.543245026198247734e+23,3.363198914974693101e+23,1.716017620968423272e+23
4.264264264264264061e-06,1.299717659925873282e+24,6.543402934521646820e+23,3.363283187858947818e+23,1.716061675641952744e+23
4.284284284284284541e-06,1.299717951503200141e+24,6.543557718522929370e+23,3.363365772966322409e+23,1.716104840741667629e+23
4.304304304304304175e-06,1.299718237232783803e+24,6.543709427031102099e+23,3.363446697567438588e+23,1.716147130962662297e+23
4.324324324324324655e-06,1.299718517157259066e+24,6.543858107602460171e+23,3.363525988205146596e+23,1.716188560601425274e+23
4.344344344344344289e-06,1.299718791318280134e+24,6.544003806553492014e+23,3.363603670714116295e+23,1.716229143566837707e+23
4.364364364364364769e-06,1.299719059756538332e+24,6.544146568992757373e+23,3.363679770239730325e+23,1.716268893390831259e+23
4.384384384384384402e-06,1.299719322511767207e+24,6.544286438851628541e+23,3.363754311256350466e+23,1.716307823238622552e+23
4.404404404404404883e-06,1.299719579622779843e+24,6.544423458914070587e+23,3.363827317584973309e+23,1.716345945918623124e+23
4.424424424424424516e-06,1.299719831127452750e+24,6.544557670845385424e+23,3.363898812410246380e+23,1.716383273891982654e+23
4.444444444444444149e-06,1.299720077062768014e+24,6.544689115220072727e+23,3.363968818296915849e+23,1.716419819281815752e+23
4.464464464464464630e-06,1.299720317464814901e+24,6.544817831548689580e+23,3.364037357205734692e+23,1.716455593882086843e+23
4.484484484484484263e-06,1.299720552368798186e+24,6.544943858303894091e+23,3.364104450508803099e+23,1.716490609166204797e+23
4.504504504504504743e-06,1.299720781809066600e+24,6.545067232945596447e+23,3.364170119004394168e+23,1.716524876295317582e+23
4.524524524524524377e-06,1.299721005819108809e+24,6.545187991945288561e+23,3.364234382931297084e+23,1.716558406126298559e+23
4.544544544544544857e-06,1.299721224431581866e+24,6.545306170809554997e+23,3.364297261982647583e+23,1.716591209219492183e+23
4.564564564564564490e-06,1.299721437678305840e+24,6.545421804102880581e+23,3.364358775319301403e+23,1.716623295846153695e+23
4.584584584584584971e-06,1.299721645590292543e+24,6.545534925469593664e+23,3.364418941582752078e+23,1.716654675995665336e+23
